date,open_1h,high_1h,low_1h,close_1h,volume_1h,ema10_1h,ema55_1h,ema200_1h,adx_1h,atr_1h,smi_1h,rsi_1h,tr_plus,tr_minus,squeeze_momentum,squeeze_state,squeeze_state_numeric,close_4h,high_4h,low_4h,open_4h,ema10_4h,ema55_4h,ema200_4h,smi_4h,adx_4h,atr_4h,rsi_4h
2025-10-08 14:00:00,122599.04,123350.0,122112.16,122320.0,1462.74459,122320.0,122320.0,122320.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,no_squeeze,0,,,,,,,,,,,
2025-10-08 15:00:00,122319.99,122622.55,121954.34,122189.72,559.46428,122296.31272727271,122315.34714285715,122318.70368159204,53.57142857142857,0.0,0.0,0.0,0.0,668.2100000000064,0.0,no_squeeze,0,,,,,,,,,,,
2025-10-08 16:00:00,122189.72,123129.23,122110.08,123051.03,641.94768,122433.53404958676,122341.62153061225,122325.99051063095,55.06709216426299,0.0,0.0,88.41027585163923,1019.1499999999942,0.0,0.0,no_squeeze,0,123450.0,124197.25,122110.08,122189.72,123450.0,123450.0,123450.0,0.0,0.0,0.0,50.0
2025-10-08 17:00:00,123051.02,124164.36,122958.05,124033.19,1336.46427,122724.38058602552,122402.03469023324,122342.97757022666,64.25972021468276,0.0,0.0,94.64245038498636,1206.3099999999977,0.0,0.0,no_squeeze,0,123450.0,124197.25,122110.08,122189.72,123450.0,123450.0,123450.0,0.0,0.0,0.0,50.0
2025-10-08 18:00:00,124033.19,124197.25,123415.58,123460.22,1152.35838,122858.16957038452,122439.82702272492,122354.09441032392,69.79130992476874,0.0,0.0,69.48974204493285,781.6699999999983,0.0,0.0,no_squeeze,0,123450.0,124197.25,122110.08,122189.72,123450.0,123450.0,123450.0,0.0,0.0,0.0,50.0
2025-10-08 19:00:00,123460.21,123759.94,123160.82,123450.0,664.75988,122965.77510304187,122475.90462905617,122364.99894355453,66.0285721904312,0.0,0.0,69.11171976422062,0.0,599.1199999999953,0.0,no_squeeze,0,123450.0,124197.25,122110.08,122189.72,123450.0,123450.0,123450.0,0.0,0.0,0.0,50.0
2025-10-08 20:00:00,123450.01,123737.0,122814.0,122856.69,673.60553,122945.94144794335,122489.50410658988,122369.89139187738,56.50757830265778,0.0,0.0,50.65365499101985,0.0,923.0,0.0,no_squeeze,0,123306.0,123737.0,122794.4,123450.01,123423.81818181818,123444.85714285714,123448.56716417911,0.0,0.0,0.0,0.0
2025-10-08 21:00:00,122856.7,123332.01,122794.4,123277.33,261.93729,123006.19391195364,122517.64074564025,122378.9206317592,49.20902792972507,0.0,0.0,59.50171242220529,0.0,537.6100000000006,0.0,no_squeeze,0,123306.0,123737.0,122794.4,123450.01,123423.81818181818,123444.85714285714,123448.56716417911,0.0,0.0,0.0,0.0
2025-10-08 22:00:00,123277.34,123416.73,123200.81,123200.82,132.25319,123041.58047341662,122542.04000472453,122387.09873492578,44.633096648748456,0.0,0.0,57.34379456068506,215.91999999999825,0.0,0.0,no_squeeze,0,123306.0,123737.0,122794.4,123450.01,123423.81818181818,123444.85714285714,123448.56716417911,0.0,0.0,0.0,0.0
2025-10-08 23:00:00,123200.82,123537.11,123056.31,123306.0,289.55534,123089.65675097721,122569.32429027009,122396.24203109568,38.64530161778932,0.0,0.0,59.66417532735165,0.0,480.8000000000029,0.0,no_squeeze,0,123306.0,123737.0,122794.4,123450.01,123423.81818181818,123444.85714285714,123448.56716417911,0.0,0.0,0.0,0.0
