date,open,high,low,close,volume,ema10,ema55,ema200,adx,atr,smi,rsi,tr_plus,tr_minus,squeeze_momentum,squeeze_state,squeeze_state_numeric,close_primary,high_primary,low_primary,open_primary,ema10_primary,ema55_primary,ema200_primary,smi_primary,adx_primary,atr_primary,rsi_primary
2025-10-08 13:30:00,122497.17,122694.8,121649.68,122599.04,689.61915,122599.04,122599.04,122599.04,0.0,0.0,0.0,50.0,0.0,0.0,0.0,no_squeeze,0,,,,,,,,,,,
2025-10-08 14:00:00,122599.04,123350.0,122419.53,122590.73,938.48391,122597.52909090907,122598.74321428571,122598.95731343284,53.57142857142857,0.0,0.0,0.0,930.4700000000012,0.0,0.0,no_squeeze,0,,,,,,,,,,,
2025-10-08 14:30:00,122590.72,122856.03,122112.16,122320.0,524.26068,122547.06925619832,122588.7880994898,122596.18161877182,44.47570953090122,0.0,0.0,0.0,0.0,743.8699999999953,0.0,no_squeeze,0,,,,,,,,,,,
2025-10-08 15:00:00,122319.99,122622.55,122203.12,122448.01,268.62353,122529.05848234406,122583.76031022231,122594.70727430643,39.97402117327982,0.0,0.0,34.701928300572874,0.0,0.0,0.0,no_squeeze,0,,,,,,,,,,,
2025-10-08 15:30:00,122448.01,122450.01,121954.34,122189.72,290.84075,122467.36057646331,122569.68744200008,122590.67755018399,31.07479386322799,0.0,0.0,19.194455929972747,0.0,495.66999999999825,0.0,no_squeeze,0,,,,,,,,,,,
2025-10-08 16:00:00,122189.72,122926.48,122110.08,122672.51,316.97861,122504.66047165179,122573.35967621437,122591.491803416,31.77734439386159,0.0,0.0,58.85241403436724,816.3999999999942,0.0,0.0,no_squeeze,0,123450.0,124197.25,122110.08,122189.72,123450.0,123450.0,123450.0,0.0,0.0,0.0,50.0
2025-10-08 16:30:00,122672.51,123129.23,122562.18,123051.03,324.96907,122604.00038589691,122590.41933063528,122596.064322785,34.44066954161531,0.0,0.0,71.50413303764114,567.0500000000029,0.0,0.0,no_squeeze,0,123450.0,124197.25,122110.08,122189.72,123450.0,123450.0,123450.0,0.0,0.0,0.0,50.0
2025-10-08 17:00:00,123051.02,123982.37,122958.05,123792.35,894.91192,122820.06395209747,122633.34542596973,122607.9676628568,41.08402840524899,0.0,0.0,83.18645639990879,1024.3199999999924,0.0,0.0,no_squeeze,0,123450.0,124197.25,122110.08,122189.72,123450.0,123450.0,123450.0,0.0,0.0,0.0,50.0
2025-10-08 17:30:00,123792.36,124164.36,123650.0,124033.19,441.55235,123040.63232444337,122683.33987504225,122622.14897964429,46.67349149798318,0.0,0.0,85.42616717923167,514.3600000000006,0.0,0.0,no_squeeze,0,123450.0,124197.25,122110.08,122189.72,123450.0,123450.0,123450.0,0.0,0.0,0.0,50.0
2025-10-08 18:00:00,124033.19,124197.25,123565.38,123615.28,497.57365,123145.11371999912,122716.6234509336,122632.03088034436,49.54144877172178,0.0,0.0,67.43955295376733,0.0,631.8699999999953,0.0,no_squeeze,0,123450.0,124197.25,122110.08,122189.72,123450.0,123450.0,123450.0,0.0,0.0,0.0,50.0
2025-10-08 18:30:00,123615.27,123826.34,123415.58,123460.22,654.78473,123202.40577090837,122743.18047054313,122640.27156810214,49.317126698130735,0.0,0.0,61.863134649474304,0.0,410.75999999999476,0.0,no_squeeze,0,123450.0,124197.25,122110.08,122189.72,123450.0,123450.0,123450.0,0.0,0.0,0.0,50.0
2025-10-08 19:00:00,123460.21,123657.48,123160.82,123638.22,318.18914,123281.6447216523,122775.14616802373,122650.20140324542,45.488150784175204,0.0,0.0,65.62771987336436,0.0,496.65999999998894,0.0,no_squeeze,0,123450.0,124197.25,122110.08,122189.72,123450.0,123450.0,123450.0,0.0,0.0,0.0,50.0
2025-10-08 19:30:00,123638.23,123759.94,123400.0,123450.0,346.57074,123312.25477226096,122799.24809059431,122658.15959823801,43.142378872377115,0.0,0.0,58.57323909463498,359.9400000000023,0.0,0.0,no_squeeze,0,123450.0,124197.25,122110.08,122189.72,123450.0,123450.0,123450.0,0.0,0.0,0.0,50.0
2025-10-08 20:00:00,123450.01,123737.0,123313.82,123563.37,208.43803,123357.91208639533,122826.53815878737,122667.16666691226,40.00795027538802,634.2214285714269,0.0,61.45295172278168,0.0,423.179999999993,0.0,no_squeeze,0,123306.0,123737.0,122794.4,123450.01,123423.81818181818,123444.85714285714,123448.56716417911,0.0,0.0,0.0,0.0
2025-10-08 20:30:00,123563.38,123565.38,122814.0,122856.69,465.1675,123266.78079795981,122827.61501025925,122669.0524712216,35.831404903368636,613.239999999998,0.0,40.96955487961066,0.0,751.3800000000047,0.0,no_squeeze,0,123306.0,123737.0,122794.4,123450.01,123423.81818181818,123444.85714285714,123448.56716417911,0.0,0.0,0.0,0.0
2025-10-08 21:00:00,122856.7,123317.62,122794.4,123279.46,178.46206,123269.08610742167,122843.75233132143,122675.12617797562,32.51320773632367,584.1507142857123,0.0,52.011088491476976,0.0,523.2200000000012,0.0,no_squeeze,0,123306.0,123737.0,122794.4,123450.01,123423.81818181818,123444.85714285714,123448.56716417911,0.0,0.0,0.0,0.0
2025-10-08 21:30:00,123279.46,123332.01,123181.75,123277.33,83.47523,123270.58499698136,122859.23724805996,122681.11825580671,29.5514479675052,541.749999999998,0.0,51.95459470939827,150.25999999999476,0.0,0.0,no_squeeze,0,123306.0,123737.0,122794.4,123450.01,123423.81818181818,123444.85714285714,123448.56716417911,0.0,0.0,0.0,0.0
2025-10-08 22:00:00,123277.34,123416.73,123277.34,123290.96,81.90754,123274.28954298474,122874.6559177721,122687.18633286336,25.955521303239433,521.7478571428541,0.0,52.336848343292026,139.39999999999418,0.0,0.0,no_squeeze,0,123306.0,123737.0,122794.4,123450.01,123423.81818181818,123444.85714285714,123448.56716417911,0.0,0.0,0.0,0.0
2025-10-08 22:30:00,123290.97,123355.06,123200.81,123200.82,50.34565,123260.93144426023,122886.30463499454,122692.29711562094,23.811095586208843,497.36071428571137,0.0,49.34127645339459,0.0,154.25,0.0,no_squeeze,0,123306.0,123737.0,122794.4,123450.01,123423.81818181818,123444.85714285714,123448.56716417911,0.0,0.0,0.0,0.0
2025-10-08 23:00:00,123200.82,123478.25,123056.31,123478.25,137.55894,123300.44390894019,122907.4455408876,122700.11754233118,23.574369422294065,469.1849999999977,0.0,57.898838103550595,0.0,421.9400000000023,0.0,squeeze_off,-1,123306.0,123737.0,122794.4,123450.01,123423.81818181818,123444.85714285714,123448.56716417911,0.0,0.0,0.0,0.0
2025-10-08 23:30:00,123478.26,123537.11,123304.47,123306.0,151.9964,123301.4541073147,122921.67962871304,122706.14622350203,22.416292578952945,445.29857142856883,0.0,51.648452345629906,232.63999999999942,0.0,0.0,squeeze_off,-1,123306.0,123737.0,122794.4,123450.01,123423.81818181818,123444.85714285714,123448.56716417911,0.0,0.0,0.0,0.0
