date,open_1h,high_1h,low_1h,close_1h,volume_1h,ema10_1h,ema55_1h,ema200_1h,adx_1h,atr_1h,smi_1h,rsi_1h,tr_plus_1h,tr_minus_1h,squeeze_momentum_1h,squeeze_state_1h,squeeze_state_numeric_1h,open_4h,high_4h,low_4h,close_4h,volume_4h,ema10_4h,ema55_4h,ema200_4h,adx_4h,atr_4h,smi_4h,rsi_4h,tr_plus_4h,tr_minus_4h,squeeze_momentum_4h,squeeze_state_4h,squeeze_state_numeric_4h
2025-10-08 15:00:00,122319.99,122622.55,121954.34,122189.72,559.46428,122189.72,122189.72,122189.72,0.0,0.0,0.0,50.0,0.0,0.0,0.0,no_squeeze,0,,,,,,,,,,,,,,,,,
2025-10-08 16:00:00,122189.72,123129.23,122110.08,123051.03,641.94768,122346.32181818182,122220.48107142857,122198.29024875624,53.57142857142857,0.0,0.0,100.0,1019.1499999999942,0.0,0.0,no_squeeze,0,122189.72,124197.25,122110.08,123450.0,3795.53021,123450.0,123450.0,123450.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,no_squeeze,0
2025-10-08 17:00:00,123051.02,124164.36,122958.05,124033.19,1336.46427,122653.02512396693,122285.22067602041,122216.54795772384,71.30730050933786,0.0,0.0,100.0,1206.3099999999977,0.0,0.0,no_squeeze,0,122189.72,124197.25,122110.08,123450.0,3795.53021,123450.0,123450.0,123450.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,no_squeeze,0
2025-10-08 18:00:00,124033.19,124197.25,123415.58,123460.22,1152.35838,122799.78782870021,122327.18493759111,122228.92280391566,80.08520667150108,0.0,0.0,72.33518935287753,781.6699999999983,0.0,0.0,no_squeeze,0,122189.72,124197.25,122110.08,123450.0,3795.53021,123450.0,123450.0,123450.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,no_squeeze,0
2025-10-08 19:00:00,123460.21,123759.94,123160.82,123450.0,664.75988,122918.00822348199,122367.28547553429,122241.07282576725,75.72149434711879,0.0,0.0,71.92566614923616,0.0,599.1199999999953,0.0,no_squeeze,0,122189.72,124197.25,122110.08,123450.0,3795.53021,123450.0,123450.0,123450.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,no_squeeze,0
2025-10-08 20:00:00,123450.01,123737.0,122814.0,122856.69,673.60553,122906.85945557617,122384.76420855093,122247.19836978946,64.41445522971885,0.0,0.0,52.14898437791975,0.0,923.0,0.0,no_squeeze,0,123450.01,123737.0,122794.4,123306.0,1357.35135,123423.81818181818,123444.85714285714,123448.56716417911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_squeeze,0
2025-10-08 21:00:00,122856.7,123332.01,122794.4,123277.33,261.93729,122974.2177363805,122416.64155824555,122257.44843576172,56.1157748953089,0.0,0.0,60.93569694990794,0.0,537.6100000000006,0.0,no_squeeze,0,123450.01,123737.0,122794.4,123306.0,1357.35135,123423.81818181818,123444.85714285714,123448.56716417911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_squeeze,0
2025-10-08 22:00:00,123277.34,123416.73,123200.81,123200.82,132.25319,123015.41814794767,122444.64793116537,122266.83521749543,51.01638657291463,0.0,0.0,58.674490943033824,215.91999999999825,0.0,0.0,no_squeeze,0,123450.01,123737.0,122794.4,123306.0,1357.35135,123423.81818181818,123444.85714285714,123448.56716417911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_squeeze,0
2025-10-08 23:00:00,123200.82,123537.11,123056.31,123306.0,289.55534,123068.25121195716,122475.41050505232,122277.17516558006,44.37110976818383,0.0,0.0,60.97175162289835,0.0,480.8000000000029,0.0,no_squeeze,0,123450.01,123737.0,122794.4,123306.0,1357.35135,123423.81818181818,123444.85714285714,123448.56716417911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_squeeze,0
2025-10-09 00:00:00,123306.01,123348.32,122839.15,122839.15,383.1891,123026.59644614675,122488.40120130045,122282.76695497728,37.35956354494231,0.0,0.0,47.45999391668413,0.0,509.1700000000128,0.0,no_squeeze,0,123306.01,123348.32,121475.98,122038.01,2319.17839,123171.85305785123,123394.61260204081,123434.53176951066,38.20033955857386,0.0,0.0,0.0,0.0,1872.340000000011,0.0,no_squeeze,0
2025-10-09 01:00:00,122839.16,122857.32,122339.41,122548.23,649.56359,122939.62072866553,122490.53794411116,122285.40837831085,36.76642438862841,0.0,0.0,40.93704742985563,0.0,517.9100000000035,0.0,no_squeeze,0,123306.01,123348.32,121475.98,122038.01,2319.17839,123171.85305785123,123394.61260204081,123434.53176951066,38.20033955857386,0.0,0.0,0.0,0.0,1872.340000000011,0.0,no_squeeze,0
2025-10-09 02:00:00,122548.23,122548.23,121475.98,121617.81,831.85568,122699.29150527179,122459.36908896433,122278.7656083774,40.38204785473937,0.0,0.0,27.161197226689296,0.0,1072.25,0.0,no_squeeze,0,123306.01,123348.32,121475.98,122038.01,2319.17839,123171.85305785123,123394.61260204081,123434.53176951066,38.20033955857386,0.0,0.0,0.0,0.0,1872.340000000011,0.0,no_squeeze,0
